State,Issuer_Name,Issuer_ID,Metal_Level,Issuer_Claims_Received,Issuer_Claims_Denials,Issuer_Internal_Appeals_Filed,Issuer_Number_Internal_Appeals_Overturned,Issuer_Percent_Internal_Appeals_Overturned,Issuer_External_Appeals_Filed,Issuer_Number_External_Appeals_Overturned,Issuer_Percent_External_Appeals_Overturned,Plan_Number_Claims_Received,Plan_Number_Claims_Denied,Plan_Number_Claims_Denied_Referral_Required,Plan_Number_Claims_Denied_Out_of_Network,Plan_Number_Claims_Denied_Services_Excluded,Plan_Number_Claims_Denied_Not_Medically_Necessary_Excl_Behavioral_Health,Plan_Number_Claims_Denied_Not_Medically_Necessary_Behavioral_Health_Only,Plan_Number_Claims_Denied_Other,Rate_Review,Financial_Information,Average Monthly Enrollment,Average Monthly Disenrollment
AK,Premera Blue Cross Blue Shield of Alaska,38344,Gold,603348,143208,2156,1079,50.05,**,**,**,259304,59633,11433,143,6071,818,**,89942,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=47570&:refresh,6428,728
AK,Premera Blue Cross Blue Shield of Alaska,38344,Silver,603348,143208,2156,1079,50.05,**,**,**,100437,26239,4720,95,2663,182,**,36773,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=47570&:refresh,2109,232
AK,Premera Blue Cross Blue Shield of Alaska,38344,Bronze Expanded,603348,143208,2156,1079,50.05,**,**,**,115878,26136,4786,20,2765,127,**,43716,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=47570&:refresh,3605,479
AK,Premera Blue Cross Blue Shield of Alaska,38344,Bronze Expanded,603348,143208,2156,1079,50.05,**,**,**,75481,20063,1322,37,1586,87,**,31298,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=47570&:refresh,3139,391
AK,Moda Assurance Company,77963,Gold,7965,628,**,**,**,0,0,**,2573,181,181,0,**,0,0,152,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=47098&:refresh,351,60
AK,Moda Assurance Company,77963,Silver,7965,628,**,**,**,0,0,**,3203,250,250,0,37,0,0,205,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=47098&:refresh,239,34
AK,Moda Assurance Company,77963,Bronze Expanded,7965,628,**,**,**,0,0,**,1762,145,145,0,22,0,0,123,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=47098&:refresh,608,102
AK,Moda Assurance Company,77963,Bronze Expanded,7965,628,**,**,**,0,0,**,427,52,52,0,**,0,0,46,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=47098&:refresh,228,31
AL,Blue Cross and Blue Shield of Alabama,46944,Gold,7557971,1710597,1974,569,28.82,56,**,**,206671,47040,3694,2350,10219,436,14,30762,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,3502,482
AL,Blue Cross and Blue Shield of Alabama,46944,Silver,7557971,1710597,1974,569,28.82,56,**,**,1494991,324598,22487,14405,74352,2821,77,213783,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,30819,2631
